theta,chi,fold_lo,fold_hi,class
0.3,0.0,NA,NA,0
0.3,0.05,NA,NA,0
0.3,0.1,NA,NA,0
0.3,0.15,NA,NA,0
0.3,0.2,NA,NA,0
0.3,0.25,NA,NA,0
0.3,0.3,NA,NA,0
0.3,0.35,NA,NA,0
0.3,0.4,NA,NA,0
0.3,0.45,NA,NA,0
0.3,0.5,0.0925,0.093,2
0.3,0.55,0.0875,0.0905,2
0.3,0.6,0.0815,0.0885,2
0.3,0.65,0.075,0.0865,2
0.3,0.7,0.0675,0.085,2
0.35,0.0,NA,NA,0
0.35,0.05,NA,NA,0
0.35,0.1,NA,NA,0
0.35,0.15,NA,NA,0
0.35,0.2,NA,NA,0
0.35,0.25,NA,NA,0
0.35,0.3,NA,NA,0
0.35,0.35,NA,NA,0
0.35,0.4,NA,NA,0
0.35,0.45,0.099,0.099,2
0.35,0.5,0.0945,0.0965,2
0.35,0.55,0.089,0.0945,2
0.35,0.6,0.0825,0.0925,2
0.35,0.65,0.0755,0.0905,2
0.35,0.7,0.068,0.089,2
0.4,0.0,NA,NA,0
0.4,0.05,NA,NA,0
0.4,0.1,NA,NA,0
0.4,0.15,NA,NA,0
0.4,0.2,NA,NA,0
0.4,0.25,NA,NA,0
0.4,0.3,NA,NA,0
0.4,0.35,NA,NA,0
0.4,0.4,0.1055,0.1055,1
0.4,0.45,0.101,0.103,1
0.4,0.5,0.096,0.1005,1
0.4,0.55,0.09,0.0985,2
0.4,0.6,0.0835,0.097,2
0.4,0.65,0.0765,0.095,2
0.4,0.7,0.0685,0.0935,2
0.45,0.0,NA,NA,0
0.45,0.05,NA,NA,0
0.45,0.1,NA,NA,0
0.45,0.15,NA,NA,0
0.45,0.2,NA,NA,0
0.45,0.25,NA,NA,0
0.45,0.3,NA,NA,0
0.45,0.35,0.1125,0.1125,1
0.45,0.4,0.108,0.11,1
0.45,0.45,0.103,0.1075,1
0.45,0.5,0.0975,0.1055,1
0.45,0.55,0.091,0.1035,1
0.45,0.6,0.084,0.102,1
0.45,0.65,0.077,0.1005,1
0.45,0.7,0.069,0.099,2
0.5,0.0,NA,NA,0
0.5,0.05,NA,NA,0
0.5,0.1,NA,NA,0
0.5,0.15,NA,NA,0
0.5,0.2,NA,NA,0
0.5,0.25,NA,NA,0
0.5,0.3,0.12,0.12,1
0.5,0.35,0.1155,0.1175,1
0.5,0.4,0.11,0.1155,1
0.5,0.45,0.1045,0.1135,1
0.5,0.5,0.0985,0.1115,1
0.5,0.55,0.092,0.11,1
0.5,0.6,0.085,0.108,1
0.5,0.65,0.0775,0.1065,1
0.5,0.7,0.0695,0.1055,1
0.55,0.0,NA,NA,0
0.55,0.05,NA,NA,0
0.55,0.1,NA,NA,0
0.55,0.15,NA,NA,0
0.55,0.2,NA,NA,0
0.55,0.25,0.1275,0.1285,1
0.55,0.3,0.123,0.126,1
0.55,0.35,0.1175,0.124,1
0.55,0.4,0.112,0.122,1
0.55,0.45,0.106,0.12,1
0.55,0.5,0.1,0.1185,1
0.55,0.55,0.093,0.117,1
0.55,0.6,0.0855,0.1155,1
0.55,0.65,0.078,0.114,1
0.55,0.7,0.07,0.1125,1
0.6,0.0,NA,NA,0
0.6,0.05,NA,NA,0
0.6,0.1,NA,NA,0
